Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Four à Pain (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.367744,55.727471,"63, RN2 Le Baril",97442#Saint-Philippe,,,Soubik,ADT Réunion,2023-01-26,Four à Pain (Le)#,3 épis / Confort#Gîtes de France,,https://data.datatourisme.fr/54/10a399a3-a894-3b90-9b90-6d8f551643eb
Four à Pain (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#TableHotes|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.367744,55.727471,"63, RN2 Le Baril",97442#Saint-Philippe,,,Soubik,ADT Réunion,2019-10-10,Four à Pain (Le)#,,,https://data.datatourisme.fr/54/11e46ab3-2dcc-3150-bb7a-1092cb627d21
Campierelle (La),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.03388628,55.4749964,"14, chemin Camp Pierrot",97433#Salazie,,,Soubik,ADT Réunion,2022-01-11,Campierelle (La)#,1 épi#Gîtes de France,,https://data.datatourisme.fr/54/26f1cdb9-377b-3329-aaab-902ab5270ad2
Campierelle (La),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Guesthouse|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#TableHotes|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/BedAndBreakfast,-21.032747,55.474058,"14, chemin Camp Pierrot",97433#Salazie,,,Soubik,ADT Réunion,2021-05-06,Campierelle (La)#,,,https://data.datatourisme.fr/54/445124aa-b987-3d9f-b429-b74ac0affdbb
Gîtes de Boucan Canot n° 58 (Les),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.034302,55.230223,"255, chemin de la Vanille - Boucan Canot",97434#Saint-Paul,,,Soubik,ADT Réunion,2023-01-30,Gîtes de Boucan Canot n° 58 (Les)#http://www.lesgitesdeboucancanot.com/,4 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/27441221-b465-3609-9cf6-203aec7a8bc9
Gîtes de Boucan Canot n°140 (Les),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.03422837,55.23065321,"255, chemin de la Vanille - Boucan Canot",97434#Saint-Paul,,,Soubik,ADT Réunion,2020-01-23,Gîtes de Boucan Canot n°140 (Les)#http://www.lesgitesdeboucancanot.com/,4 épis / Premium#Gîtes de France,,https://data.datatourisme.fr/54/1d9607d2-6c91-358e-a10c-3199b024ba8b
Gîtes de Boucan Canot n°138 (Les),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.03422837,55.23065321,"255, chemin de la Vanille - Boucan Canot",97434#Saint-Paul,,,Soubik,ADT Réunion,2020-01-23,Gîtes de Boucan Canot n°138 (Les)#http://www.lesgitesdeboucancanot.com/,4 épis / Premium#Gîtes de France,,https://data.datatourisme.fr/54/71f0fd01-30d4-33f5-9290-8923c8676330
Gîtes de Boucan Canot n°139 (Les),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.03422837,55.23065321,"255, chemin de la Vanille - Boucan Canot",97434#Saint-Paul,,,Soubik,ADT Réunion,2020-01-23,Gîtes de Boucan Canot n°139 (Les)#http://www.lesgitesdeboucancanot.com/,4 épis / Premium#Gîtes de France,,https://data.datatourisme.fr/54/c0cb66e9-bbab-3e37-9b4c-514da2d77475
Gîtes de Boucan Canot n° 57 (Les),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.034302,55.230223,"255, chemin de la Vanille - Boucan Canot",97434#Saint-Paul,,,Soubik,ADT Réunion,2023-01-30,Gîtes de Boucan Canot n° 57 (Les)#http://www.lesgitesdeboucancanot.com/,4 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/5cb5b462-8050-34a4-a81b-c98b4a7a4cac
Gîtes de Boucan Canot n°141 (Les),https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest,-21.03422837,55.23065321,"255, chemin de la Vanille - Boucan Canot",97434#Saint-Paul,,,Soubik,ADT Réunion,2020-01-23,Gîtes de Boucan Canot n°141 (Les)#http://www.lesgitesdeboucancanot.com/,4 épis / Premium#Gîtes de France,,https://data.datatourisme.fr/54/ce516e2d-f9f2-332b-bdd0-ce47545cef43
Gîtes de Boucan Canot n° 59 (Les),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,-21.034302,55.230223,"255, chemin de la Vanille - Boucan Canot",97434#Saint-Paul,,,Soubik,ADT Réunion,2023-01-30,Gîtes de Boucan Canot n° 59 (Les)#http://www.lesgitesdeboucancanot.com/,4 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/4f4de51b-5ae9-3078-a6c8-4420b2b33e63
Vieux Cep (Le),https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,-21.13668759,55.47241605,"44, rue Saint-Louis",97413#Cilaos,,,Soubik,ADT Réunion,2022-05-12,Vieux Cep (Le)#http://levieuxcep.re/,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/54/282294a6-83ac-3620-ae52-c22e0d79f967
