Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Gite - Suite Eugénie,http://schema.org/Apartment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#Apartment|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product,49.77048,4.720255,"10, Avenue Jean Jaurès - 2ème étage",08000#Charleville-Mézières,,Mise en place et respect des gestes barrière,Ardennes Tourisme,Ardennes Tourisme,2024-12-17,Rimbaud Suites#http://www.rimbaudsuites.com/|#,5 étoiles#Classement officiel des hébergements touristiques,"Appartement meublé pour 3 personnes, la suite Eugénie bénéficie d’une large superficie de 50 m2 au coeur du centre-ville, dans un immeuble du XIXème et se situe à 300 m de la place Ducale.Il est équipé de meubles design et dispose de tout le confort moderne autour de l’esprit de l’impératrice Eugénie.La suite Eugénie dispose du wifi et de Netflix.Le linge de maison est fourni : serviettes, draps, housses de couette.Les lits sont faits pour votre plus grand confort.Un lit bébé est également disponible.",https://data.datatourisme.fr/42/419fb953-2153-3160-9694-ab4b48ad240d
Ô Rethel Jacuzzi,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#House|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product|http://schema.org/House,49.505467,4.368821,4 Ter Rue Thiers,08300#Rethel,,Mise en place et respect des gestes barrière,Ardennes Tourisme,Ardennes Tourisme,2026-02-16,#https://www.oretheljacuzzi.fr/,5 étoiles#Classement officiel des hébergements touristiques,"Venez vite découvrir notre petit paradis à 30 minutes des caves de champagne, 45 minutes de la frontière belge et 1 heure de Paris. Gare TGV à proximité du gîte.            Nous mettons tout en oeuvre pour que le logement soit d'une propreté irréprochable       Tout le linge de maison est fournis, les lits n'attendent que vous :)      Une boite à clé sécurisée vous permettra d'entrer dans les lieux à l'heure qui vous conviendra.       La maison est totalement indépendante et privative   Lieu idéal pour se retrouver en famille ou entre amis.     Spacieux loft de 133m² décoré avec soin, totalement dédié à la détente et au bien être.  Vous pourrez profitez pleinement du Spa haut de gamme à toute heure, d'une partie de billard (plateau monobloc en ardoise 19mm) ou d'une partie de fléchettes électronique.  Le salon est ultra équipé, enceinte Bluetooth Marshall, Télévision Full HD avec multitude de chaînes dont Canal+ Séries, barre de son BOSE. Concernant l'ameublement nous avons misé sur le confort maximal avec un ensemble de canapés Roche Bobois pleine fleur de cuir qui saura à coup sûr vous détendre et vous inciter à faire perdurer vos soirées dans les meilleures conditions.(Jeux de société pour tout âge, livres mis à votre disposition, échiquier...) Les chambres sont équipées de Télévisons Connectées et de Literies Bultex Neuves. Tout le linge de maison est en percale de coton pour des nuits douces et reposantes. Serviettes et peignoirs Blanc des Vosges 100% coton pour chaque hôte. Serviettes de table, torchons, tout est fournis. L'espace cuisine et salle à manger sont également ultra-équipés. Du petit déjeuner au diner joliment présenté, nous avons mis à votre disposition un maximum de petits accessoires afin de vous sentir comme à la maison. Vaisselle en porcelaine, casseroles inox, petit électroménager de qualité, etc..     Des appareils tel que raclette, croque monsieur, fondue, ect.. Pourront également compléter de manière conviviale votre séjour. (Sur demande pour vous garantir leurs bons fonctionnement et leurs propretés).     Cette maison est totalement sécurisée par un système d'alarme et d'urgence vitale connecté. (Avec intervention immédiate des services compétents.)     Vous disposerez d'un extérieur fleuri et arboré qui évolue au fil des saisons. Sans vis à vis, pour une relaxation en toute tranquillité. (salon de jardin chauffé, barbecue mexicain, table couverte, transats..)         Nous restons à votre disposition pour tout renseignement ou demande particulière.     A Très bientôt",https://data.datatourisme.fr/42/d45282ea-c574-3d21-a730-838dba8cfedf
Escale en Ardennes !,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#House|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product|http://schema.org/House,49.53644,4.403437,6 rue du Pregnon,08300#Bertoncourt,,Mise en place et respect des gestes barrière,Ardennes Tourisme,Ardennes Tourisme,2025-12-29,Escale en Ardennes !#https://www.gite-escale-ardennes.com/,5 étoiles#Classement officiel des hébergements touristiques|4 Clés#Clévacances,"Notre gîte est situé à mi-chemin entre Charleville-Mézières et Reims et à 3 minutes de l’autoroute.Situé dans un village calme proche de toutes les commodités C’est au cœur de la campagne ardennaise que vous vous ressourcerez dans ce lieu chargé d’histoire avec une décoration atypique.Dans notre gîte 5 étoiles, tout le confort est mis à votre disposition pour agrémenter au mieux votre séjour grâce aux équipements de qualité ( literie de qualité, chaque chambre dispose d'une TV connectée de 100 cm, le salon dispose d'une Tv connectée de 160 cm et d'une barre de son ,.....) Des surprises vous attendent de pièce en pièce….Escale en Ardennes peut accueillir 15 personnes dans 6 chambres ayant chacune sa propre salle de bains.Détails du gîte :- 1 grande pièce de vie de 100 m2 permettant de réaliser des séminaires ou autres rassemblements ;- 4 chambres avec un lit double de 160 ;- 2 chambres avec un lit double de 160 et une mezzanine avec 2 lits simples de 90- Chaque chambre a sa propre salle de bains ;- Un grand espace de vie de 100 m2 avec une cuisine équipée (2 fours, 2 micro-onde, 2 frigos,…)- Une salle de jeux pour la distraction des petits et des grands avec un billard ;- Une buanderie avec machine à laver et sèche linge ;- Un espace détente avec vue sur la piscine et le verger- Une piscine sous abri chauffée toute l'année ;- Une terrasse sans vis-à-vis donnant sur l’espace de vie permettant de manger en extérieur et de se reposer sur les transats autour de la piscine- Un terrain permettant de se reposer ou de jouer dans la verdure ;- Lits réalisés à votre arrivée ;- Serviettes de toilettes et pour la piscine fournies.Location au week-end ou plus suivant les dates.Tarif dégressif en fonction de la durée ( à partir de 400 euros la nuit selon la durée et la période).!!!! !!!Contactez nous pour des durées de séjour différentes, nous vous réaliserons un tarif sur mesure.Une caution est demandée par empreinte bancaire à l'arrivée ainsi qu'une attestation d'assurance villégiature.<>Notre gîte est situé à mi-chemin entre Charleville-Mézières et Reims et à 3 minutes de l’autoroute. Situé dans un village calme proche de toutes les commodités C’est au cœur de la campagne ardennaise que vous vous ressourcerez dans ce lieu chargé d’histoire avec une décoration atypique.  Dans notre gîte 5 étoiles, tout le confort est mis à votre disposition pour agrémenter au mieux votre séjour grâce aux équipements de qualité ( literie de qualité, chaque chambre dispose d'une TV connectée de 100 cm, le salon dispose d'une Tv connectée de 160 cm et d'une barre de son ,.....) Des surprises vous attendent de pièce en pièce…. Escale en Ardennes peut accueillir 15 personnes dans 6 chambres ayant chacune sa propre salle de bains.  Détails du gîte :- 1 grande pièce de vie de 100 m2 permettant de réaliser des séminaires ou autres rassemblements ;- 4 chambres avec un lit double de 160 ; - 2 chambres avec un lit double de 160 et une mezzanine avec 2 lits simples de 90 - Chaque chambre a sa propre salle de bains ;- Un grand espace de vie de 100 m2 avec une cuisine équipée (2 fours, 2 micro-onde, 2 frigos,…) - Une salle de jeux pour la distraction des petits et des grands avec un billard ;- Une buanderie avec machine à laver et sèche linge ;- Un espace détente avec vue sur la piscine et le verger- Une piscine sous abri chauffée toute l'année ; - Une terrasse sans vis-à-vis donnant sur l’espace de vie permettant de manger en extérieur et de se reposer sur les transats autour de la piscine- Un terrain permettant de se reposer ou de jouer dans la verdure ;- Lits réalisés à votre arrivée ;- Serviettes de toilettes et pour la piscine fournies.Location au week-end ou plus suivant les dates. Tarif dégressif en fonction de la durée ( à partir de 400 euros la nuit selon la durée et la période).!!!! !!! Contactez nous pour des durées de séjour différentes, nous vous réaliserons un tarif sur mesure. Une caution est demandée par empreinte bancaire à l'arrivée ainsi qu'une attestation d'assurance villégiature.",https://data.datatourisme.fr/42/a854e0e2-1e58-3d3f-bd49-d82c3ad357a5
Gîte la Meuse,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,49.1344564,5.37233979999996,6 Impasse de la Distillerie Billemont,55100#Belleray,,,OT GRAND VERDUN,Système d’information touristique Lorrain,2025-08-19,#,5 étoiles#Classement officiel des hébergements touristiques,"A moins de 5 km de Verdun, Mme Collet vous propose une maison moderne et  haute de gamme (5 étoiles) à Billemont. Ce gîte de 180m² se compose de 4 chambres et peut accueillir 8 personnes maximum. Ses prestations sont de haute qualité : climatisation, salle de sport, 2 salle de bains, sauna et piscine chauffée (de mi-mai à mi-octobre). 
Pour les amateurs de sport : pêche ou découverte des Côtes de Meuse à travers des circuits de randonnée pédestre ou VTT au pied du gîte.",https://data.datatourisme.fr/10/09d49f2f-a610-33f1-927a-ecb742c4a9e9
Maison 6 personnes Le Refuge de la P'tite Vosgienne,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,48.0123415,6.87214859999995,46 Chemin de la Rigue,88250#La Bresse,,,OT COMMUNAUTAIRE DE LA BRESSE HAUTES VOSGES,Système d’information touristique Lorrain,2026-01-07,#https://reservation.labresse.net/maison-6-personnes-le-refuge-de-la-p-tite-vosgienne-128m2-m0067.html,5 étoiles#Classement officiel des hébergements touristiques|4 Clés#Clévacances,"¿¿ Offre Spéciale Vacances d'HiverProfitez d'un tarif privilégié pour vos vacances à la montagne !980€ la semaine au lieu de 1250€ (soit 270€ d'économie)Valable sur les 4 semaines des vacances scolaires d'hiver¿¿ Cette offre est limitée dans le temps :Réservez avant le 31 janvier pour en profiter !Situé à 870m d'altitude au cœur des Hautes-Vosges, Le Refuge de la P'tite Vosgienne vous accueille dans un cadre exceptionnel avec vue panoramique sur les montagnes bressaudes. Cette spacieuse maison de 128m² s'étend sur 2 niveaux et dispose de 3 chambres confortables, idéales pour accueillir jusqu'à 6 personnes.Cette location haut de gamme se démarque par ses équipements de qualité pensés pour votre bien-être : cuisine entièrement équipée, linge de maison fourni, vaste espace de vie, sauna privatif et baignoire balnéo pour des moments de pure détente. Chaque détail a été soigneusement choisi pour vous garantir un séjour sans contrainte dans une atmosphère chaleureuse et authentiquement vosgienne.Profitez d'une totale indépendance dans ce havre de paix où l'exposition privilégiée et la vue dégagée créent une ambiance apaisante, parfaite pour se ressourcer en famille ou entre amis. Point de départ idéal pour rayonner dans les Hautes-Vosges, la maison offre un accès direct aux sentiers de randonnée tout en préservant le calme et la tranquillité d'un emplacement préservé.Un refuge où confort moderne et charme montagnard se rencontrent pour des vacances inoubliables.",https://data.datatourisme.fr/10/6e16ac8a-286b-394a-b9b3-649bbb10d3bf
Maison 8 personnes,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,48.0770997,6.87306769999998,20 chemin des Epinettes,88400#Gérardmer,,,OT COMMUNAUTAIRE GERARDMER HAUTES VOSGES,Système d’information touristique Lorrain,2025-12-09,#https://www.gerardmer-reservation.net/maison-105-m-8-personnes-gerardmer-vosges.html?origine_affinage=true&mid=2&action=result&origine_affinage=true,5 étoiles#Classement officiel des hébergements touristiques|4 Clés#Clévacances,"Cette location saisonnière est réservable via le service de réservation de l’office de tourisme Gérardmer Hautes Vosges. Planning des disponibilités en ligne et mise à jour en temps réel. Réservation 7j/7 et 24h/24. Paiement sécurisé en ligne par carte bancaire ou possibilité de régler par chèque, chèques vacances, e-chèques vacances et virement. Assurance annulation / villégiature / interruption de séjour en option. Nous offrons aussi la possibilité d’agrémenter votre séjour avec des activités randonnée, détente ou culturelle ; des services tels que la location de matériel sportif, d’un Pocket wifi pour garder la connexion, d’un service traiteur… Un seul interlocuteur pour organiser votre séjour !",https://data.datatourisme.fr/10/94b3148c-b16d-3f59-aac3-cf12fd26f7da
L'escale ô sources - 8 à 12 personnes,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,47.9766527,6.43371679999996,1 Chabellegoutte,88370#Plombières-les-Bains,,,OT REMIREMONT,Système d’information touristique Lorrain,2026-02-03,#http://www.lescaleosources.com/,5 étoiles#Classement officiel des hébergements touristiques|4 Clés#Clévacances,"L’Escale Ô Sources est une maison individuelle de caractère et de grand confort pour 10 personnes située en pleine nature à 2 km du centre de Plombières-les-Bains (station thermale proposant de nombreuses activités et animations : concerts en été, marché de Noël, Casino, centre de remise en forme, accro-terrasses, jardins en terrasses, parc miniatures...).

Gîte très spacieux à la décoration soignée de 260 m² entièrement rénové et composé de 5 suites (chambre+salle d'eau), d'une cuisine ouverte sur un grand espace de vie, de 2 salons détente et d'un sauna.
RDC : Entrée avec dressing, cuisine entièrement équipée (petits appareils électro-ménagers) ouverte sur séjour avec accès terrasse, salon avec poêle bois et TV connectée, chambre accès PMR avec salle d'eau, WC séparés, garage, salle de jeux avec billard, babyfoot, jeux de fléchettes et bar.
1er étage : salon détente avec convertible, jeux, bibliothèque et TV connectée, sauna, 3 chambres avec leur salle d'eau + WC.
2ème étage : chambre avec sa salle d'eau + WC et espace couchage pour 2 enfants. 

Toutes les chambres sont aménagées avec 2 lits simples de 90x200 ou 1 lit double de 180x200. 
Les draps, le linge de maison et de toilette sont fournis, avec les lits faits pour votre arrivée. 
Extérieur privatif de 1000 m2 avec terrain de pétanque, aire de jeux pour enfants, terrain de volley/badminton et grande terrasse avec barbecues (bois et gaz).

L’Escale Ô Sources vous accueille pour passer un séjour inoubliable en famille ou entre amis. Vous apprécierez le geste d'accueil à l'arrivée avec des jus de fruits locaux offerts, la possibilité de trouver des producteurs locaux pour préparer vos repas et la présence de moutons autour de la propriété.",https://data.datatourisme.fr/10/d29e8346-ac5c-3a59-9c54-3ce5f6f04beb
Gîte la vue de château,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,48.7631756502483,5.59106278985505,10 Place du Fer à Cheval,55200#Commercy,,,OT COMMERCY VOID VAUCOULEURS,Système d’information touristique Lorrain,2026-02-03,#http://www.lavuedechateau.com/,5 étoiles#Classement officiel des hébergements touristiques,"Ce gîte de charme, ouvert toute l'année, peut accueillir jusqu'à 5 adultes (et 2 bébés) dans un bâtiment de caractère faisant partie d'un ensemble royal, mais avec tout le confort moderne. 
Sauna et hammam. Baignoire/douche.
Configuré sous forme de triplex, vous bénéficierez d'une vue exceptionnelle sur le château de Commercy.
Langue parlée : suédois, anglais, allemand.",https://data.datatourisme.fr/10/2aca36b4-0fbb-33bd-a562-ee135c6f2024
Chalet 8 personnes la Fuste des Chamois,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,48.017466,6.94533720000004,59H Route de Vologne,88250#La Bresse,,,OT COMMUNAUTAIRE DE LA BRESSE HAUTES VOSGES,Système d’information touristique Lorrain,2025-11-04,#https://www.chalets-vosges.eu/,5 étoiles#Classement officiel des hébergements touristiques,"Luxe, espace, détente... A 2 km de la station La Bresse-Hohneck. Chalet 5*, 170 m2 et prévu pour 8 personnes. Sauna, bain nordique, billard. 4 chambres et 4 salles de bain. Lits faits à votre arrivée et linge de toilette inclus.",https://data.datatourisme.fr/10/70438f1d-8893-3ed0-8411-11c572999ad4
Gîte Le Pot de Miel,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,49.4711344,5.70022930000005,3 rue Croix Sainte Agathe,54870#Ugny,,,OT DU GRAND LONGWY,Système d’information touristique Lorrain,2025-12-22,#http://potdemiel-ugny.com/,5 épis / Luxury#Gîtes de France,"Gîte situé dans un petit village du nord de la Lorraine à 12 minutes de Longwy, qui vous invite à vous retrouver et vous ressourcer en famille ou entre amis, le temps d'un week-end ou d'une escapade prolongée. 

Maison individuelle sur 3 niveaux entièrement rénovée en 2016, avec parking extérieur. Rez-de-chaussée : cuisine, séjour. Entrée, permettant de ranger des vélos, donnant accès au salon, à la terrasse extérieure et au jardin. Premier étage : salon, bibliothèque, 2 chambres (1 lit 160x200, 2 lits 90x200 dont 1 lit tiroir), 2 salles d'eau, 2 WC dont 1 WC ind. Second étage : chambre ouverte en mezzanine (1 lit 160x200). Draps et linge de toilette fournis, lits faits à l'arrivée. Chauffage gaz, charges non comprises. Sauna (non inclus dans le tarif).
Caution demandée et forfait ménage.
Charges locatives : une caution sera à déposer.
Gîte à louer à partir de 2 nuits.
Tarifs : 690 € pour 7 nuits, 375 € le week-end (2 nuits).

L'établissement est adhérent à l'office de tourisme du Grand Longwy.",https://data.datatourisme.fr/10/eadc3ac0-6475-3df2-9753-d32bf479eb37
