N°,Nom de l'établissement,Ville (Contact),Pays,Photos,Statut,Priorite,SITE WEB HH,DROPBOX,APPLICATION HH,Conseillés par Happy house,Écran connecté,Lien Backoffice,Lien Dropbox,Site_Perso,Adresse,CP,Ville (Propriété),Département,Région,Date de création,Statut closing,Téléphone Extrait,Email 1 Extrait,Email 2 Extrait,Alerte Complétude
1,Le Domaine d'Engrazac,Labastide d'Anjou,France,22.0,Publié (Conserver),"=IF(OR(E2<5, H2=""NON"", I2=""NON"", J2=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Labastide d'Anjou,,,11/02/2023,,06 98 00 25 32,bienvenue@ledomainedengrazac.com,N/D,"=IF(AND(H2=""OUI"", I2=""OUI"", J2=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
2,Votre terrasse au soleil,Toulouse,France,10.0,Publié (Conserver),"=IF(OR(E3<5, H3=""NON"", I3=""NON"", J3=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Toulouse,,,11/02/2023,,+33 6 98 00 25 32,N/D (Dreamsway),N/D,"=IF(AND(H3=""OUI"", I3=""OUI"", J3=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
3,Les pieds dans l'eau,Saint-Cyprien plage,France,17.0,Publié (Conserver),"=IF(OR(E4<5, H4=""NON"", I4=""NON"", J4=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Saint-Cyprien plage,,,11/02/2023,,07 66 84 32 58,contact@vacances-lespiedsdansleau.fr,N/D,"=IF(AND(H4=""OUI"", I4=""OUI"", J4=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
4,La Maison du Château,Belesta,France,4.0,Publié (Conserver),"=IF(OR(E5<5, H5=""NON"", I5=""NON"", J5=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Belesta,,,18/04/2023,,04 68 50 30 10,contact@riberach.com,N/D,"=IF(AND(H5=""OUI"", I5=""OUI"", J5=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
5,Domaine de Riberach,,,0,Publié (Conserver),"=IF(OR(E6<5, H6=""NON"", I6=""NON"", J6=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,NON,,,,,,,,,66,,,En cours,N/D,N/D,N/D,"=IF(AND(H6=""OUI"", I6=""OUI"", J6=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
6,Clos des Coustoulins,Lacoste,France,30.0,Publié (Conserver),"=IF(OR(E7<5, H7=""NON"", I7=""NON"", J7=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Lacoste,,,17/04/2023,,06 87 45 16 67 / 06 52 04 50 57,contact@closdescoustoulins.com,N/D,"=IF(AND(H7=""OUI"", I7=""OUI"", J7=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
7,La Péniche Saint-Louis,Toulouse,France,8.0,A supprimer par CnC (Supprimer),"=IF(OR(E8<5, H8=""NON"", I8=""NON"", J8=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Toulouse,,,31/01/2024,,07 61 92 39 57,contact@peniche-saint-louis.fr,N/D,"=IF(AND(H8=""OUI"", I8=""OUI"", J8=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
8,Bord de Garonne,Toulouse,France,NON,Non contacte,"=IF(OR(E9<5, H9=""NON"", I9=""NON"", J9=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Toulouse,,,17/04/2023,,N/D,N/D,N/D,"=IF(AND(H9=""OUI"", I9=""OUI"", J9=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
9,Chalet Nantailly,Hauteluce,France,5.0,A décider (A appeler),"=IF(OR(E10<5, H10=""NON"", I10=""NON"", J10=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Hauteluce,,,17/04/2023,,+33 6 50 90 29 76,fabienne@chaletnantailly.fr,N/D,"=IF(AND(H10=""OUI"", I10=""OUI"", J10=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
10,La Grange,Saint-Papoul,France,5.0,A décider (A appeler),"=IF(OR(E11<5, H11=""NON"", I11=""NON"", J11=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Saint-Papoul,,,11/05/2023,,06 40 63 88 61 / 06 19 86 55 88,gitesvillagesaintpapoul@gmail.com,N/D,"=IF(AND(H11=""OUI"", I11=""OUI"", J11=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
