N°,Nom de l'établissement,Ville (Contact),Pays,Photos,Statut,Priorite,SITE WEB HH,DROPBOX,APPLICATION HH,Conseillés par Happy house,Écran connecté,Lien Backoffice,Lien Dropbox,Site_Perso,Adresse,CP,Ville (Propriété),Département,Région,Date de création,Statut closing,Téléphone Extrait,Email 1 Extrait,Email 2 Extrait
1,4U Bed & Spa,Opoul-Perillos,France,1.0,Non contacte,HAUTE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Opoul-Perillos,,,26/07/2024,En cours,N/D,N/D,N/D
2,Appartements Chalande,Toulouse,France,15.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,Toulouse,,,04/02/2025,En cours,N/D,N/D,N/D
3,"Arbiview, Luxury Cocooning Moutain Lodge & Spa",Grezian,France,27.0,Non contacte,MOYENNE,OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Grezian,,,26/10/2023,En cours,N/D,N/D,N/D
4,Atlas Kasbah Ecolodge,,,,,Non contacte,HAUTE,NON,OUI,OUI,,Écran connecté, ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
5,Aux coteaux d'aussac,L'Honor-de-Cos,France,5.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,L'Honor-de-Cos,,,06/04/2023,En cours,N/D,N/D,N/D
6,Aux rives de la Courtade,Rivière,France,5.0,Non contacte,MOYENNE,OUI,OUI,NON,, ,Voir,Voir,,, ,Rivière,,,17/04/2023,En cours,N/D,N/D,N/D
7,Bastide de Meilhouret,Larroque,France,25.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Larroque,,,18/09/2025,En cours,N/D,N/D,N/D
8,Bonfarto Locations,Urval,France,13.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Urval,,,18/12/2024,En cours,+33681046468 / +33428382530,legouzot.urval@gmail.com,info@entegraps.eu
9,Bord de Garonne,,,,,Non contacte,HAUTE,NON,OUI,NON,, , ,Voir,,, ,,,, ,En cours,N/D,N/D,N/D
10,Castel Bois Marie,Montauban,France,20.0,Non contacte,MOYENNE,OUI,OUI,OUI,, ,Voir,Voir,,, ,Montauban,,,13/05/2024,En cours,N/D,N/D,N/D
11,Centre historique TOULOUSE,,,,,Non contacte,HAUTE,NON,NON,OUI,, , , ,,, ,,,, ,En cours,N/D,N/D,N/D
