N°,Nom de l'établissement,Ville (Contact),Pays,Photos,Statut,Priorite,SITE WEB HH,DROPBOX,APPLICATION HH,Conseillés par Happy house,Écran connecté,Lien Backoffice,Lien Dropbox,Site_Perso,Adresse,CP,Ville (Propriété),Département,Région,Date de création,Statut closing,Téléphone Extrait,Email 1 Extrait,Email 2 Extrait,Alerte Complétude
1,4U Bed & Spa,Opoul-Perillos,France,1.0,Non contacte,"=IF(OR(E2<5, H2=""NON"", I2=""NON"", J2=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Opoul-Perillos,,,26/07/2024,En cours,+33 6 01 79 38 62,4ubedspa@gmail.com,N/D,"=IF(AND(H2=""OUI"", I2=""OUI"", J2=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
2,Appartements Chalande,Toulouse,France,15.0,Non contacte,"=IF(OR(E3<5, H3=""NON"", I3=""NON"", J3=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Toulouse,,,04/02/2025,En cours,07 56 91 06 06,lesrelaisducapitole@gmail.com,N/D,"=IF(AND(H3=""OUI"", I3=""OUI"", J3=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
3,"Arbiview, Luxury Cocooning Moutain Lodge & Spa",Grezian,France,27.0,Non contacte,"=IF(OR(E4<5, H4=""NON"", I4=""NON"", J4=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,,Écran connecté,Voir,Voir,,, ,Grezian,,,26/10/2023,En cours,06 14 46 29 75 / 06 27 08 60 00,location@arbiview.com,N/D,"=IF(AND(H4=""OUI"", I4=""OUI"", J4=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
4,Atlas Kasbah Ecolodge,Agadir,Maroc,NON,Non contacte,"=IF(OR(E5<5, H5=""NON"", I5=""NON"", J5=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,OUI,,Écran connecté, ,Voir,,, ,Agadir,,,17/04/2023,En cours,+212 661 488 504 / +212 662 188 889,contact@atlaskasbah.com,N/D,"=IF(AND(H5=""OUI"", I5=""OUI"", J5=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
5,Aux coteaux d'aussac,L'Honor-de-Cos,France,5.0,Non contacte,"=IF(OR(E6<5, H6=""NON"", I6=""NON"", J6=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,L'Honor-de-Cos,,,06/04/2023,En cours,05 63 67 35 15 / 06 49 45 07 98,auxcoteauxdaussac@gmail.com,N/D,"=IF(AND(H6=""OUI"", I6=""OUI"", J6=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
6,Aux rives de la Courtade,Rivière,France,5.0,Non contacte,"=IF(OR(E7<5, H7=""NON"", I7=""NON"", J7=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,NON,, ,Voir,Voir,,, ,Rivière,,,17/04/2023,En cours,06 10 08 57 94 / 06 22 26 32 70,auxrivesdelacourtade@gmail.com,N/D,"=IF(AND(H7=""OUI"", I7=""OUI"", J7=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
7,Bastide de Meilhouret,Larroque,France,25.0,Non contacte,"=IF(OR(E8<5, H8=""NON"", I8=""NON"", J8=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Larroque,,,18/09/2025,En cours,06 30 41 69 57 / 06 19 01 28 67,contact@domaineducolombier-tarn.com,N/D,"=IF(AND(H8=""OUI"", I8=""OUI"", J8=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
8,Bonfarto Locations,Urval,France,13.0,Non contacte,"=IF(OR(E9<5, H9=""NON"", I9=""NON"", J9=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Urval,,,18/12/2024,En cours,+33681046468 / +33428382530,legouzot.urval@gmail.com,info@entegraps.eu,"=IF(AND(H9=""OUI"", I9=""OUI"", J9=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
9,Bord de Garonne,Toulouse,France,NON,Non contacte,"=IF(OR(E10<5, H10=""NON"", I10=""NON"", J10=""NON""), ""HAUTE"", ""MOYENNE"")",NON,OUI,NON,, , ,Voir,,, ,Toulouse,,,17/04/2023,En cours,N/D,N/D,N/D,"=IF(AND(H10=""OUI"", I10=""OUI"", J10=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
10,Castel Bois Marie,Montauban,France,20.0,Non contacte,"=IF(OR(E11<5, H11=""NON"", I11=""NON"", J11=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Montauban,,,13/05/2024,En cours,05 63 66 74 60 / 06 20 93 44 70,castel.boismarie@gmail.com,N/D,"=IF(AND(H11=""OUI"", I11=""OUI"", J11=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
11,Centre historique TOULOUSE,Toulouse,France,NON,Non contacte,"=IF(OR(E12<5, H12=""NON"", I12=""NON"", J12=""NON""), ""HAUTE"", ""MOYENNE"")",NON,NON,OUI,, , , ,,, ,Toulouse,,,17/04/2023,En cours,N/D,N/D,N/D,"=IF(AND(H12=""OUI"", I12=""OUI"", J12=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
12,Chalet Guytoune,Morzine,France,19.0,Non contacte,"=IF(OR(E13<5, H13=""NON"", I13=""NON"", J13=""NON""), ""HAUTE"", ""MOYENNE"")",OUI,OUI,OUI,, ,Voir,Voir,,, ,Morzine,,,15/12/2025,En cours,06 12 95 00 44,info@chalet-guytoune.com,N/D,"=IF(AND(H13=""OUI"", I13=""OUI"", J13=""OUI""), ""✅ COMPLET"", ""⚠️ À OPTIMISER"")"
