Type d'hébergement;Formule Visibilité (HT/an);Service HTA Visibilité;Formule Premium (HT/an);Service HTA Premium;Formule Prestige (HT/an);Service HTA Prestige;Formule Waouh (HT/an);Service HTA Waouh
Petit Chalet;70;8%;144;5%;216;2%;324;0%
Appartement, petit gîte;90;8%;144;5%;216;2%;324;0%
Chalet;150;8%;240;5%;360;2%;540;0%
Grand Chalet;188;8%;300;5%;450;2%;675;0%
Grand gîte ou multi-gîtes;188;8%;300;5%;450;2%;675;0%
Hôtel;188;8%;300;5%;450;2%;675;0%
Maison d'hôtes;150;8%;240;5%;360;2%;540;0%
Studio & chambre d'hôtes;90;8%;144;5%;216;2%;324;0%
Villa, gîte;150;8%;240;5%;360;2%;540;0%
Séminaire - Salle petite capacité (<20 pers. assises);590;;;;;;;
Séminaire - Salle moyenne capacité (20-40 pers. assises);790;;;;;;;
Séminaire - Salle grande capacité (>40 pers. assises);890;;;;;;;
