"","2023/2024","2024/2025","2025/2026"
"Août 1","0,21","0,19","0,11"
"2","0,21","0,39","0,11"
"3","0,21","1,47","0,11"
"4","8,21","1,57","0,11"
"Septembre 5","8,81","1,93","0,11"
"6","9,45","1,93","0,80"
"7","9,45","2,12","1,75"
"8","9,45","2,24","2,06"
"9","10,11","2,37","2,09"
"Octobre 10","11,05","2,37","2,14"
"11","16,85","2,75","2,39"
"12","16,85","3,05","2,39"
"13","17,25","3,05","4,14"
"Novembre 14","17,25","3,09","4,20"
"15","17,75","3,17","4,61"
"16","17,75","3,32","5,52"
"17","18,42","4,78","5,52"
"Décembre 18","19,72","4,91","5,59"
"19","20,32","5,41","5,66"
"20","20,52","6,08","5,75"
"21","21,89","6,73","6,17"
"22","21,89","6,73","6,35"
"Janvier 23","22,12","7,33","6,35"
"24","22,80","8,52","6,66"
"25","22,80","8,72","7,35"
"26","27,87","8,72","7,35"
"Février 27","28,34","15,26",""
"28","29,39","15,70",""
"29","31,04","17,56",""
"30","31,36","17,56",""
"Mars 31","31,58","18,49",""
"32","31,97","19,29",""
"33","33,15","19,31",""
"34","35,73","19,83",""
"35","36,34","20,12",""
"Avril 36","36,99","20,12",""
"37","36,99","26,76",""
"38","36,99","26,81",""
"39","38,21","26,81",""
"Mai 40","38,31","26,81",""
"41","39,22","27,11",""
"42","39,22","27,12",""
"43","39,28","27,22",""
"Juin 44","39,77","27,22",""
"45","40,02","27,48",""
"46","41,10","27,48",""
"47","41,10","27,59",""
"48","41,35","28,02",""
"Juillet 49","41,87","28,32",""
"50","41,99","28,36",""
"51","42,04","28,38",""
"52","42,20","28,98",""
