Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Dolce Vita,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.554369,8.790298,Lieu dit Ponte Bambinu RT 30,20260#Calvi,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2025-02-19,#https://www.dolce-vita-calvi.com/,3 étoiles#Classement officiel des hébergements touristiques,"Réservez dès à présent votre camping au bord de l'eau à Calvi en Corse situé au coeur de la Balagne, une des régions les plus préservées de la Corse, au bord d’une charmante rivière donnant directement sur la plage de sable fin de Calvi.",https://data.datatourisme.fr/13/5769d5ca-dd8f-3858-870b-fa125a6a01b4
Best Western Casa Bianca,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.563021,8.753575,Route de Santore Chemin San Francesco - Route du stade,20260#Calvi,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2026-02-10,#https://www.hotel-casa-bianca.com/,3 étoiles#Classement officiel des hébergements touristiques,"Les chambres de cet hôtel *** situé à Calvi en Balagne sont modernes et élégantes. Elles vous offrent une atmosphère calme et reposante qui vous laissera rêveur, pour le plus grand plaisir des amoureux et des familles en vacances en Corse.",https://data.datatourisme.fr/13/8dd943cb-3679-3807-ac6d-7c3b8e7c026c
Le Magnolia,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.566729,8.757881,Rue Alsace Lorraine,20260#Calvi,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2026-01-27,#http://www.hotel-le-magnolia.com/,3 étoiles#Classement officiel des hébergements touristiques,"Au cœur de Calvi, la cité Semper Fidelis, nous vous accueillons dans notre hôtel de charme. Cette maison de maître du siècle dernier vous séduira par sa décoration romantique et son beau patio à la touche florentine, à l'ombre d'un magnolia centenaire.",https://data.datatourisme.fr/13/a44ba21a-9426-3c0d-8389-84c4959201d9
Domaine Casale Olmia,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.507824,8.838009,A Casa Campagnola Lieu dit Fiuminale,20214#Moncale,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-07-20,#https://www.domaine-casale-olmia.com/,4 étoiles#Classement officiel des hébergements touristiques,"Ancienne demeure de maître située à Moncale en Balagne, entièrement rénovée et transformée en 5 suites",https://data.datatourisme.fr/13/4c483dbc-45b3-3b4d-bf41-679a41ac9e66
Maria Die,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.568133,8.755514,quartier loretto 20260 calvi,20260#Calvi,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2025-02-03,#https://hotelmariadie.com/,4 étoiles#Classement officiel des hébergements touristiques,"L’hôtel Maria Die est situé à Calvi face à la mer et la Revellata, à 300m de la citadelle, à quelques minutes à pied du port, de la petite crique du Roncu, et à 800m de la plage de sable fin et de la pinède. 
Hôtel certifié EcoLabel Européen",https://data.datatourisme.fr/13/ac8795a7-a920-3bcf-b099-ee010db4395e
Cala di Greco,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,41.397366,9.157456,Lieu-dit Bancarello,20169#Bonifacio,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2025-12-03,#https://www.hotel-caladigreco.com/,4 étoiles#Classement officiel des hébergements touristiques,"Perché face à la citadelle de Bonifacio et la mer, l’Hôtel Cala di Greco est un écrin de luxe au cœur du maquis. Suites élégantes, piscines à débordement, spa privatif, massages, et vue imprenable font de cet établissement un havre de sérénité unique.",https://data.datatourisme.fr/13/921ac1de-7ee0-3722-8ee1-a8786090a60a
Le Damier,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.476597,9.045362,Hameau de Caldarello,20131#Pianottoli-Caldarello,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2026-02-04,#https://www.camping-le-damier.com/,3 étoiles#Classement officiel des hébergements touristiques,"À deux pas des plages des Bruzzi, le camping Le Damier à Pianottoli-Caldarello vous accueille dans un cadre verdoyant. Emplacements, chalets, bungalows et lodges tout confort. Piscine, bar-restaurant pizzeria et animations pour des vacances inoubliables !",https://data.datatourisme.fr/13/5f5900e0-5fea-3dcf-8ed4-7c179d95b361
Rocabella,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.636689,8.936124,2 Rue Pontellole,20220#L'Île-Rousse,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2025-07-28,#http://www.hotel-rocabella.com/,4 étoiles#Classement officiel des hébergements touristiques,"L'Hôtel spa Rocabella 4 étoiles est situé à Ile Rousse en Balagne, à 200 mètres de la grande plage de sable blanc, 600 mètres du port de plaisance et 900 m du phare de la Pietra. Il est équipé d'une grande terrasse et de chambres climatisées.",https://data.datatourisme.fr/13/ddc3c6b9-04cb-3b7a-b7a0-936baf09862b
E Cinque Arcate,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,42.411585,8.682825,Pont des Cinque Arcate,20245#Galéria,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-05-03,#https://www.hotelcorse-galeria.com/fr,2 étoiles#Classement officiel des hébergements touristiques,"Cet hôtel situé en Balagne vous séduira par sa situation à la fois proche du village de Galeria et sa proximité avec la célèbre rivière du Fangu.
Vous pourrez également profiter de moment de détente sur sa grande terrasse. Bonnes vacances en Corse !",https://data.datatourisme.fr/13/35aec0da-0eef-31b3-8080-5267f242fa6f
Casa di Luna,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.412766,8.691103,Domaine de Vaitella,20245#Galéria,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-01-24,#https://casadiluna.net/,2 étoiles#Classement officiel des hébergements touristiques,"Camping idéalement situé près de Calvi en Balagne, entre mer et montagne, à cheval sur deux torrents dans la vallée du Fango, à 5 km de la mer, 1 km de la rivière, aux portes de Scandola, au pied de plus belles montagnes de Corse.",https://data.datatourisme.fr/13/89161292-5c04-3980-95e0-feb7c1282f6a
