Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
VILLA LUNA MOONA,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#House|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product|http://schema.org/House,14.5504985,-60.8485254,11 Lotissement le point de vue Belle Étoile,97280#Le Vauclin,,,CMT,Comité Martiniquais du Tourisme,2024-12-09,VILLA LUNA MOONA#,5 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/35/fc90b3f0-9828-3e61-b56d-c73530e7c9fa
VILLA EMERAUDE,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#House|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product|http://schema.org/House,14.4758665,-61.037976,Habitation Dizac Plage du Diamant,97223#Le Diamant,,,CMT,Comité Martiniquais du Tourisme,2026-01-01,VILLA EMERAUDE#,4 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/35/fc99cb17-ac84-3dec-a8b4-8cf40b677620
DOUCE VAGUE,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,14.46511,-60.927874,"1, rue de la plage Gros Raisins",97228#Sainte-Luce,,,Office de Tourisme de Sainte-Luce,Comité Martiniquais du Tourisme,2026-01-01,#http://www.douce-vague.com/fr/index.php<>https://www.facebook.com/DouceVague|DOUCE VAGUE#http://www.douce-vague.com/<>http://www.tripadvisor.fr/VacationRentalReview-g657860-d7628450-Residence_DOUCE_VAGUE-Sainte_Luce_Arrondissement_of_Le_Marin_Martinique.html,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/35/f0b41171-fa54-34ce-8266-98aa8bea5bdc
CARAYOU HOTEL & SPA,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,14.55903405,-61.0493615,Pointe du bout,97229#Les Trois-Îlets,,,BIT des Trois-Ilets,Comité Martiniquais du Tourisme,2026-01-01,#https://www.book-secure.com/index.php?s=results&property=mqtro11668|CARAYOU HOTEL & SPA#http://www.hotel-carayou.com/<>https://www.tripadvisor.fr/Hotel_Review-g147329-d151649-Reviews-Carayou_Hotel_Spa-Trois_Ilets_Arrondissement_of_Le_Marin_Martinique.html?m=19905,3 étoiles#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/35/4d0800ec-b5e8-326a-9536-9666ccb6b34f
LES HAUTS DE LAFONTAINE F2,http://schema.org/Apartment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#Apartment|https://www.datatourisme.fr/ontology/core#RentalAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product,14.4702507,-60.862574,Baie du Marin Habitation Lafontaine Les Hauts de Lafontaine,97290#Le Marin,,,Office de Tourisme du Marin,Comité Martiniquais du Tourisme,2026-01-01,#http://www.acr-martinique.com/|LES HAUTS DE LAFONTAINE F2#http://www.acr-martinique.com/,1 étoile#Classement officiel des hébergements touristiques,,https://data.datatourisme.fr/35/94778581-cc05-3961-acc5-b4463ca5bd32
MARTINIQUE PARAPENTE,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#AccompaniedPractice|https://www.datatourisme.fr/ontology/core#Course|https://www.datatourisme.fr/ontology/core#FreePractice|https://www.datatourisme.fr/ontology/core#Practice|https://www.datatourisme.fr/ontology/core#Rental|https://www.datatourisme.fr/ontology/core#DevelopmentCourse|https://www.datatourisme.fr/ontology/core#EquipmentRental|https://www.datatourisme.fr/ontology/core#IntroductionCourse|https://www.datatourisme.fr/ontology/core#FirstPractice|http://schema.org/Product,14.4690229,-61.047908,La cherry,97223#Le Diamant,,,CMT,Comité Martiniquais du Tourisme,2026-01-01,#http://www.martinique-parapente.com/|MARTINIQUE PARAPENTE#http://www.martinique-parapente.com/<>https://www.facebook.com/parapentemartinique,Tourisme & Handicap auditif#Marque Tourisme et Handicap|Tourisme & Handicap visuel#Marque Tourisme et Handicap|Tourisme & Handicap mental#Marque Tourisme et Handicap|Tourisme & Handicap moteur#Marque Tourisme et Handicap,,https://data.datatourisme.fr/35/7dce8e93-2240-32bd-8e45-5e14ed1a9a07
JET7,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#AccompaniedPractice|https://www.datatourisme.fr/ontology/core#Course|https://www.datatourisme.fr/ontology/core#FreePractice|https://www.datatourisme.fr/ontology/core#Practice|https://www.datatourisme.fr/ontology/core#DevelopmentCourse|https://www.datatourisme.fr/ontology/core#IntroductionCourse|https://www.datatourisme.fr/ontology/core#FirstPractice|http://schema.org/Product,14.45078284,-60.8847041,Plage de la Pointe Marin,97227#Le Marin,,,CMT,Comité Martiniquais du Tourisme,2026-01-01,#https://bit.ly/Jet-7|JET7#http://www.jet7martinique.fr/<>https://g.co/kgs/sC6PFti<>https://www.facebook.com/share/15T5DFzfVx/?mibextid=wwXIfr<>https://www.instagram.com/jet7_martinique?igsh=MXFqbXh3eDdwd25wbw%3D%3D&utm_source=qr<>https://www.tripadvisor.fr/Attraction_Review-g776151-d10202324-Reviews-Jet7-Le_Marin_Arrondissement_of_Le_Marin_Martinique.html,Tourisme & Handicap auditif#Marque Tourisme et Handicap|Tourisme & Handicap visuel#Marque Tourisme et Handicap|Tourisme & Handicap mental#Marque Tourisme et Handicap|Tourisme & Handicap moteur#Marque Tourisme et Handicap,,https://data.datatourisme.fr/35/93c6b163-ac74-3da4-b94a-a81bb7b5e845
AIRAWAK-ULM,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#AccompaniedPractice|https://www.datatourisme.fr/ontology/core#Course|https://www.datatourisme.fr/ontology/core#FreePractice|https://www.datatourisme.fr/ontology/core#Practice|https://www.datatourisme.fr/ontology/core#IntroductionCourse|https://www.datatourisme.fr/ontology/core#FirstPractice|http://schema.org/Product,14.5956143,-61.000243,Aéroport Martinique Aimé Césaire Zone aviation générale,97232#Le Lamentin,,,CMT,Comité Martiniquais du Tourisme,2026-01-01,AIRAWAK-ULM#,Tourisme & Handicap auditif#Marque Tourisme et Handicap|Tourisme & Handicap visuel#Marque Tourisme et Handicap|Tourisme & Handicap moteur#Marque Tourisme et Handicap,,https://data.datatourisme.fr/35/b822d930-185d-32f3-a0b4-ab0376ce73dd
LE PETIT TRAIN DE BELFORT,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace,14.6502749,-60.996664,Belfort Quartier Belfort,97232#Le Lamentin,,,CMT,Comité Martiniquais du Tourisme,2026-02-09,#http://www.visitebelfort.com/|LE PETIT TRAIN DE BELFORT#http://www.visitebelfort.com/<>https://www.facebook.com/visitebelfort<>https://www.instagram.com/visitebelfort/,Qualité Tourisme#Qualité Tourisme,,https://data.datatourisme.fr/35/0c55b2ab-b6d6-3822-8c0e-d91cdb03be7f
AN GRIYAV-LA,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#TastingProvider|http://schema.org/LocalBusiness,14.6769019,-60.9452794,Quartier moulin à vent,97231#Le Robert,,,CMT,Comité Martiniquais du Tourisme,2025-05-09,AN GRIYAV-LA#https://fr-fr.facebook.com/angriyavla.robert,Bienvenue à la ferme#Bienvenue à la ferme,,https://data.datatourisme.fr/35/160b8e1c-6c63-3a83-a9c3-9057bbdfe6f7
