Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI,Telephone_Final
Les Caudalies,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,46.9076497,5.76996803,20 avenue Pasteur,39600#Arbois,,,OFFICE DE TOURISME ARBOIS-POLIGNY-SALINS CŒUR DU JURA,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-01-01,#https://www.facebook.com/people/Les-Caudalies/100052680983001/<>https://www.lescaudalies.fr/fr/,Vignobles & Découvertes#Label Vignobles & Découvertes|3 étoiles#Classement officiel des hébergements touristiques,"Le lieu idéal si vous aimez le mélange entre authenticité et contemporain. L'ensemble est chic, confortable et accueillant. Une très belle adresse.",https://data.datatourisme.fr/6/aca3c1bc-24a3-3033-a86e-d3369bcff33c,05 26 80 98 30
Annexe du 11 D,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product,47.2328954,6.0295475,"""Côté Patio"" 11 rue du Chapître",25000#Besançon,,,OFFICE DE TOURISME ET DES CONGRES DU GRAND BESANCON,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2025-12-29,#https://www.lannexe-apparthotel.com/<>https://www.facebook.com/LAnnexe-Appart-H%C3%B4tel-Besan%C3%A7on-2176208502422040/<>https://www.instagram.com/lannexe_appart_hotel/,3 étoiles#Classement officiel des hébergements touristiques,"Appartement aménagé dans un Hôtel particulier du 18ème S situé entre la cathédrale Saint-Jean et la citadelle Vauban, près des restaurants et musées",https://data.datatourisme.fr/6/7dca4d5d-6f87-32f5-b6b3-4064eeb73e8f,08 50 24 22 04
Chalets des Chemins Verts - Gîte Peter,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product,46.803181,5.935983,Rue du Clos Devant,39300#Le Latet,,,MAISON DU TOURISME CHAMPAGNOLE NOZEROY JURA,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-02-16,#https://locationchaletjura.com/<>https://www.facebook.com/profile.php?id=100063693924683,4 étoiles#Classement officiel des hébergements touristiques|Bienvenue à la ferme#Bienvenue à la ferme,"Réservez pour vos vacances ou week-end votre location de vacances à la ferme dans le jura .
Nos chalets de 8 personnes vous accueillent.",https://data.datatourisme.fr/6/576ef043-9194-3eda-ac26-823d27a00d47,06 36 93 92 46
Hôtel Ibis,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,47.63017,6.13901,8 Rue du Dr Jean Georges Girard,70000#Vesoul,,,MAISON DU TOURISME DE VESOUL,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2025-03-29,#http://www.ibishotel.com/<>https://www.facebook.com/profile.php?id=100092558631164,3 étoiles#Classement officiel des hébergements touristiques,"Chambre climatisées, parking, restaurants, bar, terrasse, espace coworking, wifi.",https://data.datatourisme.fr/6/5a820f56-68c9-30ed-a055-c486f62331b4,09 25 58 63 11
Annexe du 11 C,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product,47.2329145,6.02956359,"""Côté Rue"" 11 rue du Chapitre",25000#Besançon,,,OFFICE DE TOURISME ET DES CONGRES DU GRAND BESANCON,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2025-12-29,#https://www.lannexe-apparthotel.com/<>https://www.facebook.com/LAnnexe-Appart-H%C3%B4tel-Besan%C3%A7on-2176208502422040/<>https://www.instagram.com/lannexe_appart_hotel/,3 étoiles#Classement officiel des hébergements touristiques,"Studio de caractère au cœur du quartier historique, culturel  et commerçant, ancienne maison de chanoines qui conjugue charme et sérénité.",https://data.datatourisme.fr/6/d98d8959-1172-3a3e-a1de-a257a01278ef,08 50 24 22 04
Hostellerie de Bretonnière,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,47.0206713,4.8317461,"43, rue du Faubourg Bretonnière",21200#Beaune,,,La Côte-d'Or J'adore,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-01-01,#http://www.hotelbretonniere.com/<>https://fr-fr.facebook.com/Hostellerie-de-La-Bretonni%C3%A8re-208315462527827/<>https://www.instagram.com/hostelleriedebretonniere/?hl=fr<>https://premium.logishotels.com/fo/booking/233/14280/availability?specialMode=default&begindate=29%2F02%2F2024&tmonth=3&tyear=2024&hotelid=14280&numnight=1&m=booking&langcode=FR&enddate=01%2F03%2F2024&fyear=2024&custid=233&fmonth=02&_ga=GA1.3.1691007208.1709213698&fday=29&tday=1,Accueil Vélo#France Vélo Tourisme|Vignobles & Découvertes#Label Vignobles & Découvertes|3 étoiles#Classement officiel des hébergements touristiques,"L'hostellerie de Bretonnière, à 5 minutes à pied du cœur historique propose tous les services d'un hôtel moderne dans un cadre calme et confortable.",https://data.datatourisme.fr/6/1e0ca722-ec35-3e53-877d-c497aa2aa5ed,08 31 54 62 52
Camping Sous-Doriat,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Camping|https://www.datatourisme.fr/ontology/core#CampingAndCaravanning|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,46.72137,5.7987,34 rue Marcel Hugon,39300#Monnet-la-Ville,,,MAISON DU TOURISME CHAMPAGNOLE NOZEROY JURA,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-02-13,#http://www.camping-sous-doriat.com/<>https://www.facebook.com/Camping-sous-doriat-388026984581672/?rf=479948742018140,Qualité Tourisme#Qualité Tourisme|3 étoiles#Classement officiel des hébergements touristiques,"Camping avec piscine couverte, à 5 kms du lac de Chalain, location de mobil-home, séjour camping, et accueil camping car.",https://data.datatourisme.fr/6/18e34a2d-eb8f-3fac-9ef7-1a29330533f3,02 69 84 58 16
Campanile Besançon Ouest Chateaufarine,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,47.216117,5.943839,4 rue Louis Aragon,25000#Besançon,,,OFFICE DE TOURISME ET DES CONGRES DU GRAND BESANCON,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2024-12-31,#https://besancon-ouest-chateaufarine.campanile.com/fr-fr/<>https://www.facebook.com/Campanile-Besan%C3%A7on-Chateaufarine-1707430366175611/,3 étoiles#Classement officiel des hébergements touristiques,"L'hôtel-restaurant Campanile Besançon Ouest Châteaufarine est accessible depuis l’A36, se trouve à 9 km du centre et de la gare. Une situation idéale!",https://data.datatourisme.fr/6/87cfdb97-a4a2-3dc8-a2c7-cf856569f2b8,07 43 03 66 17
Chalets des Chemins Verts - Gîte Manon,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product,46.803181,5.935983,Rue Clos Devant,39300#Le Latet,,,MAISON DU TOURISME CHAMPAGNOLE NOZEROY JURA,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2026-02-16,#https://locationchaletjura.com/<>https://www.facebook.com/profile.php?id=100063693924683,4 étoiles#Classement officiel des hébergements touristiques|Bienvenue à la ferme#Bienvenue à la ferme,"Réservez pour vos vacances ou week-end votre location de vacances à la ferme dans le Jura 
Nos chalets de 8 personnes vous accueillent.",https://data.datatourisme.fr/6/82375a01-cd21-3d2f-af1d-c751733f74b4,06 36 93 92 46
Annexe du 8,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Product|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#AccommodationProduct|https://www.datatourisme.fr/ontology/core#RentalAccommodation|https://www.datatourisme.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product,47.2571905,6.0173026,8 rue Andrey,25000#Besançon,,,OFFICE DE TOURISME ET DES CONGRES DU GRAND BESANCON,Bourgogne-Franche-Comté Tourisme - Decibelles Data,2025-12-29,#https://www.lannexe-apparthotel.com/<>https://www.facebook.com/LAnnexe-Appart-H%C3%B4tel-Besan%C3%A7on-2176208502422040/<>https://www.instagram.com/lannexe_appart_hotel/,3 étoiles#Classement officiel des hébergements touristiques,"La campagne en ville ! Entre le centre historique, culturel et le centre d’affaires Témis et Micropolis, un séjour de charme.",https://data.datatourisme.fr/6/46f5c9c9-12bf-38eb-813c-c2380ad54587,08 50 24 22 04
