Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
La Maison de L’Architecture et du Patrimoine de Basse-Terre,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,15.997516,-61.731353,24  rue baudot,97100#Basse-Terre,,,Comité du Tourisme des Iles de Guadeloupe,Apidae Tourisme Scic SA - source : Apidae Tourisme,2025-05-12,#https://ville-basseterre.fr/index.php/la-maison-de-l-architecture-et-du-patrimoine,,"La Maison du Patrimoine de Basse-Terre, ancienne maison Buffon, propose des expositions, des conférences et des visites guidées des monuments et quartiers historiques de la ville. Lieu incontournable pour découvrir l'architecture et le patrimoine local.",https://data.datatourisme.fr/13/56944ea6-9d15-38aa-b128-3bca4aa9ffaf
Restaurant Le Tourniquet,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,16.236262,-61.560818,44 rue de la chapelle,97122#Baie-Mahault,,,Comité du Tourisme des Iles de Guadeloupe,Apidae Tourisme Scic SA - source : Apidae Tourisme,2025-05-02,#,,"Le restaurant Le Tourniquet, situé à Jarry, offre une vue imprenable sur la mer et une cuisine créole aux influences italiennes et cubaines. Un lieu idéal pour savourer des plats traditionnels dans un cadre agréable.",https://data.datatourisme.fr/13/67e6b7f2-2400-3046-b35b-b49484ca6d26
Restaurant Le Naturel,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,16.236891,-61.794462,Lotissement cato,97116#Pointe-Noire,,,Comité du Tourisme des Iles de Guadeloupe,Apidae Tourisme Scic SA - source : Apidae Tourisme,2025-04-30,#,,"Le Naturel, situé à Pointe-Noire près de la plage, propose une cuisine créole traditionnelle dans un cadre paisible. Un lieu idéal pour savourer des plats authentiques dans une ambiance agréable.",https://data.datatourisme.fr/13/e37817a1-1910-39f1-b7d3-3d7ae6f01daf
Les Bières de la Lézarde,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,16.174019,-61.660161,1 allée Merwart Vernou,97170#Petit-Bourg,,,Comité du Tourisme des Iles de Guadeloupe,Apidae Tourisme Scic SA - source : Apidae Tourisme,2025-06-30,#,,Brasserie Lézarde : Une Escale Authentique au Cœur de la Forêt Tropicale,https://data.datatourisme.fr/13/862873a1-b794-3d00-8b99-57cfcc366548
Les Petits Saints,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,15.862361,-61.582953,,97137#Terre-de-Haut,,,Comité du Tourisme des Iles de Guadeloupe,Apidae Tourisme Scic SA - source : Apidae Tourisme,2025-01-27,#https://petitssaints.com/,3 étoiles#Classement officiel des hébergements touristiques,"L'Hôtel-Restaurant Les Petits Saints, situé dans un cadre verdoyant avec vue panoramique sur la baie des Saintes, se trouve à 5 minutes à pied du bourg et vous accueille dans une belle maison créole.",https://data.datatourisme.fr/13/5af83068-ff6f-3cac-88de-034b1a5cae87
Guadeloupe Passion Caraïbes,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Store|https://www.datatourisme.fr/ontology/core#TouristInformationCenter|https://www.datatourisme.fr/ontology/core#IncomingTravelAgency|http://schema.org/LocalBusiness|http://schema.org/TouristInformationCenter,15.97226,-61.690185,,97141#Vieux-Fort,,,Comité du Tourisme des Iles de Guadeloupe,Apidae Tourisme Scic SA - source : Apidae Tourisme,2025-11-13,#https://www.guadeloupepassioncaraibes.fr/,,"Guadeloupe Passion Caraïbes – Explorez, Ressentez, Savourez la Guadeloupe",https://data.datatourisme.fr/13/27d0f873-b426-3f7e-a79b-847afa07453e
Résidence Vue mer,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,16.344822,-61.774084,Zac petit Bas Vent,97126#Deshaies,,,Comité du Tourisme des Iles de Guadeloupe,Apidae Tourisme Scic SA - source : Apidae Tourisme,2025-02-05,#https://www.residencevuemer.com/,4 étoiles#Classement officiel des hébergements touristiques,"La Résidence Vue Mer dispose de 21 logements tout conforts répartis dans 5 petits bâtiments typiques de la Guadeloupe à 2 niveaux au cœur d’un magnifique jardin tropical, le tout surplombant la Mer des Caraïbes.",https://data.datatourisme.fr/13/342ac006-f96c-3b38-a9d8-6bd8ed05ab87
Habitation Grande Anse,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Hotel,16.323599,-61.784221,Plage de grande anse,97126#Deshaies,,,Comité du Tourisme des Iles de Guadeloupe,Apidae Tourisme Scic SA - source : Apidae Tourisme,2025-01-22,#https://www.hotelhga.com/,3 étoiles#Classement officiel des hébergements touristiques,"L'Habitation Grande Anse*** à Deshaies, Guadeloupe, propose 58 logements tout confort à 250 m de la plage, avec restaurant, piscine et vue sur la Mer des Caraïbes. Un lieu paisible alliant indépendance et services hôteliers.",https://data.datatourisme.fr/13/04ca6647-3bf2-3088-a536-3ef52a2a8965
Karacoli Beach Bar,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,16.322725,-61.787597,Plage de grande anse,97126#Deshaies,,,Comité du Tourisme des Iles de Guadeloupe,Apidae Tourisme Scic SA - source : Apidae Tourisme,2025-03-10,#https://karacoli.com/bar-restaurant-de-plage-deshaies-guadeloupe/,,"Imaginez-vous face à la mer, le sable fin sous vos pieds, un cocktail à la main. Notre Beach Club est un lieu de détente où luxe et confort se rencontrent.",https://data.datatourisme.fr/13/1a530316-e701-3158-87fa-2215e2a3dfb6
Karacoli Spa,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace,16.322725,-61.787597,Plage de grande anse,97126#Deshaies,,,Comité du Tourisme des Iles de Guadeloupe,Apidae Tourisme Scic SA - source : Apidae Tourisme,2025-01-28,#https://karacoli.com/spa-massage-jacuzzi-plage-deshaies-guadeloupe/,,"Notre espace spa vous accueille pour une expérience de bien-être unique, en harmonie avec la nature.",https://data.datatourisme.fr/13/14522a53-d54f-3340-8c24-b941587e81cb
